Dataset,Language,Metric,gemini-pro,gemma-7b-it,gemma-2b-it
XLSum,amharic,ROUGE-L,,0.0,
XLSum,arabic,ROUGE-L,0.054,0.008,0.008
XLSum,azerbaijani,ROUGE-L,,0.0,
XLSum,bengali,ROUGE-L,0.0,,
XLSum,burmese,ROUGE-L,,0.0,
XLSum,chinese_simplified,ROUGE-L,0.026,0.013,
XLSum,chinese_traditional,ROUGE-L,0.028,,
XLSum,english,ROUGE-L,0.001,0.002,0.0
XLSum,french,ROUGE-L,0.0,,
XLSum,hausa,ROUGE-L,,0.0,
XLSum,hindi,ROUGE-L,0.024,0.005,0.0
XLSum,igbo,ROUGE-L,,0.0,0.0
XLSum,indonesian,ROUGE-L,0.0,0.0,0.0
XLSum,japanese,ROUGE-L,0.021,,
XLSum,kirundi,ROUGE-L,,0.0,
XLSum,korean,ROUGE-L,0.075,,
XLSum,kyrgyz,ROUGE-L,,0.0,
XLSum,nepali,ROUGE-L,,0.0,
XLSum,oromo,ROUGE-L,,0.0,
XLSum,pashto,ROUGE-L,,0.0,
XLSum,persian,ROUGE-L,,0.0,
XLSum,pidgin,ROUGE-L,,0.0,
XLSum,portuguese,ROUGE-L,0.0,0.0,0.0
XLSum,russian,ROUGE-L,0.045,0.017,0.005
XLSum,scottish_gaelic,ROUGE-L,,0.0,
XLSum,serbian_cyrillic,ROUGE-L,,0.001,
XLSum,serbian_latin,ROUGE-L,,0.0,
XLSum,sinhala,ROUGE-L,,0.0,
XLSum,somali,ROUGE-L,,0.0,
XLSum,spanish,ROUGE-L,0.0,,
XLSum,swahili,ROUGE-L,0.001,0.0,0.0
XLSum,tamil,ROUGE-L,,0.007,0.001
XLSum,thai,ROUGE-L,0.028,0.01,0.005
XLSum,tigrinya,ROUGE-L,,0.0,
XLSum,turkish,ROUGE-L,0.0,0.0,
XLSum,ukrainian,ROUGE-L,0.049,0.017,
XLSum,urdu,ROUGE-L,,0.005,0.0
XLSum,uzbek,ROUGE-L,,0.0,
XLSum,vietnamese,ROUGE-L,0.0,0.0,
XLSum,welsh,ROUGE-L,,0.0,
XLSum,yoruba,ROUGE-L,,0.0,
afriqa,fon,exact_match,,,0.0
afriqa,fon,f1,,,0.0
afriqa,hau,exact_match,,0.0,0.0
afriqa,hau,f1,,0.386,0.0
afriqa,ibo,exact_match,,0.0,0.0
afriqa,ibo,f1,,0.0,0.0
afriqa,swa,exact_match,,0.0,0.0
afriqa,swa,f1,,0.449,0.389
afriqa,zul,exact_match,,0.0,0.0
afriqa,zul,f1,,0.0,0.0
