Dataset,Task,Language,Language Tier,Language Code,Language Class,Language Script,DV003 Monolingual,DV003 TranslateTest,DV003 Zero-Shot Cross Lingual,GPT-3.5-Turbo Monolingual,GPT-3.5-Turbo Translate-Test,GPT-3.5-Turbo Zero-Shot Cross Lingual,GPT-4 Monolingual,GPT-4 Translate-Test,GPT-4 Zero-Shot Cross Lingual,TULRv6,BLOOMZ,XLM-R,mBERT,MuRIL,XGLM,mT5,PaLM2 Zero-Shot,PaLM2 Monolingual,Llama2-7B Monolingual,Llama2-13B Monolingual,Llama2-70B Monolingual,LLaVa-1.5-13B Monolingual,LLaVa-1.5-13B Translate-Test,Bing Translator,Google Translator,Systran,Metrics,Direction
AfriQA,Question Answering,Bemba,,bem,0,Latin,NA,NA,NA,0.044,NA,NA,0.176626099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.004,0.004,NA,NA,NA,NA,NA,F1 Score,HigherBetter
AfriQA,Question Answering,Fon,,fon,0,Latin,NA,NA,NA,0.105,NA,NA,0.14993422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.005,0.005,NA,NA,NA,NA,NA,F1 Score,HigherBetter
AfriQA,Question Answering,Hausa,,ha,2,Latin,NA,NA,NA,0.112,NA,NA,0.329341614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0.006,0.006,NA,NA,NA,NA,NA,F1 Score,HigherBetter
AfriQA,Question Answering,Igbo,,ig,1,Latin,NA,NA,NA,0.205,NA,NA,0.446792267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.007,0.007,NA,NA,NA,NA,NA,F1 Score,HigherBetter
AfriQA,Question Answering,Kinyarwanda,,kin,0,Latin,NA,NA,NA,0.104,NA,NA,0.314821576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,0.003,0.003,NA,NA,NA,NA,NA,F1 Score,HigherBetter
AfriQA,Question Answering,Swahili,,sw,2,Latin,NA,NA,NA,0.185,NA,NA,0.386809837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.007,0.007,NA,NA,NA,NA,NA,F1 Score,HigherBetter
AfriQA,Question Answering,Twi,,twi,0,Latin,NA,NA,NA,0.203,NA,NA,0.308456577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,0.009,0.009,NA,NA,NA,NA,NA,F1 Score,HigherBetter
AfriQA,Question Answering,Wolof,,wo,2,Latin,NA,NA,NA,0.049,NA,NA,0.116186885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.004,0.004,NA,NA,NA,NA,NA,F1 Score,HigherBetter
AfriQA,Question Answering,Yoruba,,yo,2,Latin,NA,NA,NA,0.164,NA,NA,0.282220072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029,0.03,0.03,NA,NA,NA,NA,NA,F1 Score,HigherBetter
AfriQA,Question Answering,Zulu,,zul,0,Latin,NA,NA,NA,0.088,NA,NA,0.275307198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,0.013,0.013,NA,NA,NA,NA,NA,F1 Score,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Arabic,2,ar,5,Arabic,0.9178,NA,NA,0.693,NA,NA,0.9178,0.9178,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.868888889,NA,NA,0.423,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Czech,,cs,,Latin,NA,NA,NA,0.769,NA,NA,0.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.877777778,NA,NA,0.65,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,Danish,,da,,Latin,NA,NA,NA,0.807,NA,NA,0.8233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.881111111,NA,NA,0.662,NA,NA,NA,NA,NA,Accuracy,HigherBetter
Belebele,Multiple Choice Reading Comprehension,German,1,de,5,Latin,NA,NA,NA,0.833,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.875555556,NA,NA,0.694,NA,NA,NA,NA,NA,Accuracy,HigherBetter
